CGKG_ID	Uniprot_ID	GEM_ID	InterPro	KEGG_ID	CGL_RS_ID	NCgl_ID	Cgl_ID	cg_ID	CoryneRegNet_ID	Gene_Name	Gene_Type	EC_Number	Genome_Info
CGKG_G00590	Q8NST2			Cgl0585	CGL_RS02940	NCgl0560	Cgl0585	cg0678			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013745.1', 'Product': 'hypothetical protein', 'Start': '598193', 'End': '599705', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599821.1', 'Product': 'hypothetical protein', 'Start': '598193', 'End': '599705', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97978.1', 'Product': 'Hypothetical protein', 'Start': '598193', 'End': '599705', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19290.1', 'Product': 'conserved hypothetical protein', 'Start': '598194', 'End': '599706', 'Strand': '+'}]"
CGKG_G00591	Q8NST1			Cgl0586	CGL_RS02945	NCgl0561	Cgl0586	cg0679			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_020948518.1', 'Product': 'hypothetical protein', 'Start': '599758', 'End': '599935', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599822.1', 'Product': 'hypothetical protein', 'Start': '599698', 'End': '599935', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97979.1', 'Product': 'Hypothetical protein', 'Start': '599698', 'End': '599935', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19291.1', 'Product': 'conserved hypothetical protein', 'Start': '599699', 'End': '599936', 'Strand': '+'}]"
CGKG_G00592	Q8NST0		IPR029058#IPR029059	Cgl0587	CGL_RS02950	NCgl0562	Cgl0587	cg0680			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013747.1', 'Product': 'alpha/beta hydrolase', 'Start': '600018', 'End': '600876', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599823.1', 'Product': 'hypothetical protein', 'Start': '600018', 'End': '600876', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97980.1', 'Product': 'Hypothetical protein', 'Start': '600018', 'End': '600876', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19292.1', 'Product': 'conserved hypothetical protein', 'Start': '600019', 'End': '600877', 'Strand': '-'}]"
CGKG_G00593	Q8RSU9	Cgl0588	IPR000821#IPR001608#IPR009006#IPR011079#IPR029066;PDB:2DY3	Cgl0588	CGL_RS02955	NCgl0563	Cgl0588	cg0681		alr	Enzyme	5.1.1.1	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013748.1', 'Product': 'alanine racemase', 'Start': '600970', 'End': '602056', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599824.1', 'Product': 'alanine racemase', 'Start': '600970', 'End': '602056', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97981.1', 'Product': 'Alanine racemase', 'Start': '600970', 'End': '602056', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19293.1', 'Product': 'ALANINE RACEMASE', 'Start': '600971', 'End': '602057', 'Strand': '+'}]"
CGKG_G00594	Q8NSS9		IPR003442#IPR027417	Cgl0589	CGL_RS02960	NCgl0564	Cgl0589	cg0682		tsaE	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003854549.1', 'Product': 'tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE', 'Start': '602079', 'End': '602577', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599825.1', 'Product': 'hypothetical protein', 'Start': '602079', 'End': '602577', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97982.1', 'Product': 'Predicted ATPase or kinase', 'Start': '602079', 'End': '602577', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19294.1', 'Product': 'ATPase or kinase', 'Start': '602080', 'End': '602578', 'Strand': '+'}]"
CGKG_G00595	Q8NSS8		IPR006037#IPR006512	Cgl0590	CGL_RS02965	NCgl0565	Cgl0590	cg0683			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013749.1', 'Product': 'aspartate:alanine exchanger family transporter', 'Start': '602810', 'End': '604412', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599826.1', 'Product': 'putative membrane protein', 'Start': '602810', 'End': '604412', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97983.1', 'Product': 'Predicted permease', 'Start': '602810', 'End': '604412', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19295.1', 'Product': 'permease', 'Start': '602811', 'End': '604413', 'Strand': '+'}]"
CGKG_G00596	Q8NSS7		IPR000073#IPR002410#IPR029058	Cgl0591	CGL_RS02970	NCgl0566	Cgl0591	cg0684		papA	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013750.1', 'Product': 'alpha/beta fold hydrolase', 'Start': '604427', 'End': '605711', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599827.1', 'Product': 'putative aminopeptidase', 'Start': '604427', 'End': '605711', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97984.1', 'Product': 'Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)', 'Start': '604469', 'End': '605711', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19296.1', 'Product': 'PROLYL AMINOPEPTIDASE A', 'Start': '604428', 'End': '605712', 'Strand': '+'}]"
CGKG_G00597	Q8NSS6		IPR000905#IPR022496	Cgl0592	CGL_RS02975	NCgl0567	Cgl0592	cg0685		tsaB	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013751.1', 'Product': 'tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB', 'Start': '605717', 'End': '606395', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599828.1', 'Product': 'hypothetical protein', 'Start': '605717', 'End': '606395', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97985.1', 'Product': 'Inactive homologs of metal-dependent proteases, putative molecular chaperones', 'Start': '605717', 'End': '606395', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19297.1', 'Product': 'homolog of metal-dependent proteases, putative molecular chaperone', 'Start': '605718', 'End': '606396', 'Strand': '+'}]"
CGKG_G00598	Q8NSS5		IPR000182#IPR006464#IPR016181	Cgl0593	CGL_RS02980	NCgl0568	Cgl0593	cg0686		rimI	Enzyme	2.3.1.128	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003860686.1', 'Product': 'ribosomal protein S18-alanine N-acetyltransferase', 'Start': '606391', 'End': '606901', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599829.1', 'Product': 'acetyltransferase', 'Start': '606391', 'End': '606901', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97986.1', 'Product': 'Acetyltransferases', 'Start': '606391', 'End': '606901', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19298.1', 'Product': 'ACETYLTRANSFERASE, GNAT FAMILY', 'Start': '606392', 'End': '606902', 'Strand': '+'}]"
CGKG_G00599	Q8NSS4		IPR000905#IPR017860#IPR017861#IPR022450	Cgl0594	CGL_RS02985	NCgl0569	Cgl0594	cg0687		tsaD#gcp	Enzyme	2.3.1.234	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013752.1', 'Product': 'tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD', 'Start': '606904', 'End': '607939', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599830.1', 'Product': 'metal-dependent protease', 'Start': '606904', 'End': '607939', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97987.1', 'Product': 'Metal-dependent proteases with possible chaperone activity', 'Start': '606904', 'End': '607939', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19299.1', 'Product': 'PROBABLE O-SIALOGLYCOPROTEIN ENDOPEPTIDASE', 'Start': '606905', 'End': '607940', 'Strand': '+'}]"
CGKG_G00600	Q8NSS3		IPR000631#IPR004443#IPR029056	Cgl0595	CGL_RS02990	NCgl0570	Cgl0595	cg0688		nnr	Enzyme	4.2.1.136#5.1.99.6	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013753.1', 'Product': 'NAD(P)H-hydrate dehydratase', 'Start': '607957', 'End': '609682', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599831.1', 'Product': 'hypothetical protein', 'Start': '607957', 'End': '609682', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97988.1', 'Product': 'Predicted sugar kinase', 'Start': '607957', 'End': '609682', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19300.1', 'Product': 'conserved hypothetical protein', 'Start': '607958', 'End': '609683', 'Strand': '+'}]"
CGKG_G00601	Q8NSS2			Cgl0596	CGL_RS02995	NCgl0571	Cgl0596	cg0689			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003860693.1', 'Product': 'hypothetical protein', 'Start': '609755', 'End': '610178', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599832.1', 'Product': 'hypothetical protein', 'Start': '609755', 'End': '610178', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97989.1', 'Product': 'Hypothetical protein', 'Start': '609746', 'End': '610178', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19301.1', 'Product': 'hypothetical protein', 'Start': '609747', 'End': '610179', 'Strand': '+'}]"
CGKG_G00602	Q8NSS1		IPR011032#IPR018369#IPR020818	Cgl0597	CGL_RS03000	NCgl0572	Cgl0597	cg0690		groES#groS	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003854559.1', 'Product': 'co-chaperone GroES', 'Start': '610347', 'End': '610647', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599833.2', 'Product': 'co-chaperonin GroES', 'Start': '610347', 'End': '610647', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97990.1', 'Product': 'Co-chaperonin GroES (HSP10)', 'Start': '610347', 'End': '610647', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19302.1', 'Product': 'Chaperonin 10 Kd subunit', 'Start': '610348', 'End': '610648', 'Strand': '+'}]"
CGKG_G00603	Q8NSS0		IPR002423#IPR017998#IPR027413	Cgl0598	CGL_RS03005	NCgl0573	Cgl0598	cg0691;cg0693		groL#groEL1#groL1#groEL'	Enzyme	5.6.1.7	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013754.1', 'Product': 'chaperonin GroEL', 'Start': '610658', 'End': '612275', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599834.1', 'Product': 'chaperonin GroEL', 'Start': '610658', 'End': '612275', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97991.1', 'Product': 'Chaperonin GroEL (HSP60 family)', 'Start': '610658', 'End': '612275', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19303.1', 'Product': '60 KDA CHAPERONIN (PROTEIN CPN60) (HSP60)-N-terminal fragment', 'Start': '610659', 'End': '611034', 'Strand': '+'}]"
CGKG_G00604	Q8NSR9		IPR003482	Cgl0599	CGL_RS03010	NCgl0574	Cgl0599	cg0695		whcB#whiB#whiB3	TF		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003854562.1', 'Product': 'WhiB family transcriptional regulator WhcB', 'Start': '612414', 'End': '612714', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599835.1', 'Product': 'hypothetical protein', 'Start': '612414', 'End': '612714', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97992.1', 'Product': 'Hypothetical protein', 'Start': '612414', 'End': '612714', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19306.1', 'Product': 'Transcription factor WhiB', 'Start': '613875', 'End': '614175', 'Strand': '-'}]"
CGKG_G00605	Q8NSR8		IPR007627#IPR011991#IPR013249#IPR013324#IPR013325#IPR014284	Cgl0600	CGL_RS03015	NCgl0575	Cgl0600	cg0696		sigD	SIGMA		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013755.1', 'Product': 'sigma-70 family RNA polymerase sigma factor', 'Start': '613155', 'End': '613722', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599836.1', 'Product': 'DNA-directed RNA polymerase specialized sigma subunit', 'Start': '613155', 'End': '613722', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97993.1', 'Product': 'DNA-directed RNA polymerase specialized sigma subunits, sigma24 homologs', 'Start': '613155', 'End': '613722', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19307.1', 'Product': 'PUTATIVE RNA POLYMERASE SIGMA FACTOR, ECF family', 'Start': '614616', 'End': '615183', 'Strand': '+'}]"
CGKG_G00606	Q8NSR7			Cgl0601	CGL_RS03020	NCgl0576	Cgl0601	cg0697			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013756.1', 'Product': 'hypothetical protein', 'Start': '613721', 'End': '614750', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599837.1', 'Product': 'hypothetical protein', 'Start': '613721', 'End': '614750', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97994.1', 'Product': 'Hypothetical protein', 'Start': '613721', 'End': '614750', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19308.1', 'Product': 'conserved hypothetical protein', 'Start': '615182', 'End': '616211', 'Strand': '+'}]"
CGKG_G00607	Q8NSR6			Cgl0602	CGL_RS03025	NCgl0577	Cgl0602	cg0698			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011265586.1', 'Product': 'DUF5319 domain-containing protein', 'Start': '614799', 'End': '615180', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599838.1', 'Product': 'hypothetical protein', 'Start': '614799', 'End': '615189', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97995.1', 'Product': 'Hypothetical protein', 'Start': '614799', 'End': '615180', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19309.1', 'Product': 'conserved hypothetical protein', 'Start': '616260', 'End': '616641', 'Strand': '-'}]"
CGKG_G00608	Q8NSR5	Cgl0603	IPR000644#IPR001093#IPR005990#IPR013785#IPR015875	Cgl0603	CGL_RS03030	NCgl0578	Cgl0603	cg0699		guaB#guaB2	Enzyme	1.1.1.205	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013757.1', 'Product': 'IMP dehydrogenase', 'Start': '615335', 'End': '616856', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599839.1', 'Product': 'inosine monophosphate dehydrogenase', 'Start': '615335', 'End': '616856', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97996.1', 'Product': 'IMP dehydrogenase/GMP reductase', 'Start': '615335', 'End': '616856', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19310.1', 'Product': 'INOSITOL-MONOPHOSPHATE DEHYDROGENASE', 'Start': '616796', 'End': '618317', 'Strand': '+'}]"
CGKG_G00609	Q8NSR4	Cgl0604	IPR001093#IPR005992#IPR013785;PDB:2QR6	Cgl0604	CGL_RS03035	NCgl0579	Cgl0604	cg0700		guaB3	Enzyme	1.1.1.205	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013758.1', 'Product': 'GuaB3 family IMP dehydrogenase-related protein', 'Start': '616972', 'End': '618097', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599840.1', 'Product': 'putative inosine-5-monophosphate dehydrogenase', 'Start': '616972', 'End': '618097', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97997.1', 'Product': 'IMP dehydrogenase/GMP reductase', 'Start': '616972', 'End': '618097', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19311.1', 'Product': 'IMP dehydrogenase / GMP reductase C terminus', 'Start': '618433', 'End': '619558', 'Strand': '+'}]"
CGKG_G00610	Q8NSR3		IPR000620	Cgl0605	CGL_RS03040	NCgl0580	Cgl0605	cg0701			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013759.1', 'Product': 'DMT family transporter', 'Start': '618089', 'End': '618995', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599841.1', 'Product': 'putative membrane protein', 'Start': '618089', 'End': '618995', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97998.1', 'Product': 'Permeases of the drug/metabolite transporter (DMT) superfamily', 'Start': '618089', 'End': '619013', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19312.1', 'Product': 'drug/metabolite transporter DMT superfamily', 'Start': '619550', 'End': '620456', 'Strand': '-'}]"
CGKG_G00611	Q8NSR2		IPR000847#IPR005119#IPR011991	Cgl0606	CGL_RS03045	NCgl0581	Cgl0606	cg0702			TF		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013760.1', 'Product': 'LysR substrate-binding domain-containing protein', 'Start': '619085', 'End': '619997', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599842.1', 'Product': 'transcriptional regulator', 'Start': '619085', 'End': '619997', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97999.1', 'Product': 'Transcriptional regulator', 'Start': '619085', 'End': '619997', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19313.1', 'Product': 'Bacterial regulatory protein, LysR family', 'Start': '620546', 'End': '621458', 'Strand': '+'}]"
CGKG_G00612	Q8NSR1	Cgl0607	IPR001674#IPR004739#IPR014729#IPR017926#IPR022310#IPR022955#IPR025777#IPR029062	Cgl0607	CGL_RS03050	NCgl0582	Cgl0607	cg0703		guaA	Enzyme	6.3.5.2	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013761.1', 'Product': 'glutamine-hydrolyzing GMP synthase', 'Start': '620003', 'End': '621575', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599843.1', 'Product': 'GMP synthase', 'Start': '620003', 'End': '621575', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98000.1', 'Product': 'GMP synthase - PP-ATPase domain', 'Start': '620003', 'End': '621575', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19314.1', 'Product': 'PUTATIVE GMP SYNTHASE', 'Start': '621464', 'End': '623036', 'Strand': '+'}]"
CGKG_G00613	Q8NSR0		IPR028276	Cgl0608	CGL_RS03055	NCgl0583	Cgl0608	cg0704			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003860713.1', 'Product': 'imm68 putative immunity domain-containing protein', 'Start': '621716', 'End': '622160', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599844.1', 'Product': 'hypothetical protein', 'Start': '621716', 'End': '622160', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98001.1', 'Product': 'Hypothetical protein', 'Start': '621716', 'End': '622160', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19315.1', 'Product': 'conserved hypothetical protein', 'Start': '623177', 'End': '623621', 'Strand': '+'}]"
CGKG_G00614	Q8NSQ8		IPR007168#IPR024425	Cgl0610	CGL_RS03060	NCgl0584	Cgl0610	cg0706		esrI	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013762.1', 'Product': 'two-component system EsrSR regulator EsrI', 'Start': '622456', 'End': '623635', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599845.1', 'Product': 'hypothetical membrane protein', 'Start': '622456', 'End': '623635', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98003.1', 'Product': 'Hypothetical membrane protein', 'Start': '622456', 'End': '623635', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19317.1', 'Product': 'conserved hypothetical membrane protein', 'Start': '623917', 'End': '624991', 'Strand': '-'}]"
CGKG_G00615	Q8NSQ7		IPR003594#IPR007168	Cgl0611	CGL_RS03065	NCgl0585	Cgl0611	cg0707		esrS#cgtS7	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_101677580.1', 'Product': 'two-component system sensor histidine kinase EsrS', 'Start': '623799', 'End': '624942', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599846.1', 'Product': 'two-component system sensor kinase', 'Start': '623883', 'End': '624942', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98004.1', 'Product': 'Two-component system, sensory transduction histidine kinases', 'Start': '623799', 'End': '624942', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19318.1', 'Product': 'PUTATIVE TWO COMPONENT SENSOR KINASE', 'Start': '625131', 'End': '626403', 'Strand': '+'}]"
CGKG_G00616	Q8NSQ6		IPR000792#IPR001789#IPR011006#IPR011991#IPR016032	Cgl0612	CGL_RS03070	NCgl0586	Cgl0612	cg0709		esrR#cgtR7	TF		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003854586.1', 'Product': 'two-component system response regulator EsrR', 'Start': '624984', 'End': '625677', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599847.1', 'Product': 'two-component system response regulator', 'Start': '624984', 'End': '625677', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98005.1', 'Product': 'Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain', 'Start': '624984', 'End': '625677', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19319.1', 'Product': 'putative two component response regulator', 'Start': '626445', 'End': '627138', 'Strand': '+'}]"
CGKG_G00617	Q8NSQ5			Cgl0613	CGL_RS03075	NCgl0587	Cgl0613	cg0710			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003860723.1', 'Product': 'hypothetical protein', 'Start': '625676', 'End': '626003', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599848.1', 'Product': 'hypothetical protein', 'Start': '625676', 'End': '626003', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98006.1', 'Product': 'Hypothetical protein', 'Start': '625676', 'End': '626003', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19320.1', 'Product': 'membrane protein', 'Start': '627137', 'End': '627464', 'Strand': '+'}]"
CGKG_G00618	Q8NSQ4			Cgl0614	CGL_RS03080	NCgl0588	Cgl0614	cg0711			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013764.1', 'Product': 'hypothetical protein', 'Start': '626066', 'End': '626510', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599849.1', 'Product': 'hypothetical membrane protein', 'Start': '626066', 'End': '626510', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98007.1', 'Product': 'Hypothetical membrane protein', 'Start': '626066', 'End': '626558', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19321.1', 'Product': 'membrane protein', 'Start': '627527', 'End': '628019', 'Strand': '-'}]"
CGKG_G00619	Q8NSQ3			Cgl0615	CGL_RS03085	NCgl0589	Cgl0615	cg0712			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011265591.1', 'Product': 'hypothetical protein', 'Start': '626573', 'End': '627539', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599850.1', 'Product': 'hypothetical protein', 'Start': '626573', 'End': '627395', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98008.1', 'Product': 'Hypothetical protein', 'Start': '626573', 'End': '627539', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19322.1', 'Product': 'secreted protein', 'Start': '628034', 'End': '629000', 'Strand': '-'}]"
CGKG_G00620	Q8NSQ2			Cgl0616	CGL_RS03090	NCgl0590	Cgl0616	cg0713			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013766.1', 'Product': 'hypothetical protein', 'Start': '627762', 'End': '628554', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599851.1', 'Product': 'hypothetical protein', 'Start': '627762', 'End': '628554', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98009.1', 'Product': 'Hypothetical protein', 'Start': '627726', 'End': '628554', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19323.1', 'Product': 'conserved hypothetical protein', 'Start': '629268', 'End': '630015', 'Strand': '+'}]"
CGKG_G00621	Q8NSQ1		IPR001126#IPR017963	Cgl0617	CGL_RS03095	NCgl0591	Cgl0617	cg0714			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013767.1', 'Product': 'DNA polymerase Y family protein', 'Start': '628562', 'End': '630143', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599852.1', 'Product': 'hypothetical protein', 'Start': '628562', 'End': '630143', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB98010.1', 'Product': 'Hypothetical protein', 'Start': '628550', 'End': '630143', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF19324.1', 'Product': 'polymerase involved in DNA repair', 'Start': '630011', 'End': '631604', 'Strand': '+'}]"
